,cell_types
6-4733,endothelial
1-2296,fibroblast
1-1211,pDC
1-2104,epithelial
6-1173,tumor
11-3236,NK
21-1273,T CD8 naive
21-1000,macrophage
1-1083,T CD4 naive
6-977,tumor
1-2141,pDC
6-1216,mDC
11-2538,tumor
21-800,fibroblast
26-2013,plasmablast
1-2113,B-cell
21-239,fibroblast
1-1687,mDC
1-1297,T CD4 naive
6-1744,plasmablast
11-2578,tumor
11-3710,tumor
11-1714,tumor
11-859,tumor
1-1591,endothelial
1-1411,fibroblast
1-1170,neutrophil
1-1981,Treg
6-4752,endothelial
6-1934,B-cell
6-1118,tumor
11-3792,tumor
11-1797,tumor
11-159,endothelial
21-2421,fibroblast
21-2412,endothelial
1-1289,B-cell
1-1148,T CD4 naive
1-2155,Treg
1-140,endothelial
6-2003,fibroblast
21-2054,pDC
21-1915,T CD4 naive
1-696,T CD4 naive
1-395,fibroblast
6-1415,epithelial
6-1309,epithelial
21-2346,fibroblast
26-2903,mDC
1-1350,pDC
6-1849,plasmablast
6-385,tumor
11-524,tumor
1-2358,epithelial
1-2256,endothelial
21-409,endothelial
1-1113,T CD4 naive
1-2084,B-cell
1-2035,Treg
1-200,B-cell
6-4874,neutrophil
21-1569,T CD4 naive
1-2268,fibroblast
1-919,T CD4 naive
1-658,plasmablast
1-434,T CD4 naive
6-5128,T CD4 naive
6-2985,mast
6-4719,pDC
6-1027,tumor
21-1813,plasmablast
21-1158,fibroblast
26-406,tumor
1-1037,Treg
6-3518,endothelial
6-4967,T CD4 naive
11-2599,tumor
26-675,macrophage
6-2679,plasmablast
11-651,tumor
26-830,neutrophil
1-1658,T CD4 naive
1-1061,T CD4 naive
11-2412,tumor
11-1815,tumor
11-3224,fibroblast
11-276,fibroblast
26-916,macrophage
1-1013,T CD4 naive
6-4798,fibroblast
6-1241,epithelial
11-2321,tumor
21-2084,fibroblast
1-983,T CD4 naive
1-789,B-cell
1-734,T CD4 naive
1-2091,B-cell
6-4144,tumor
11-1843,tumor
11-3036,fibroblast
21-778,fibroblast
26-3358,plasmablast
26-731,macrophage
1-828,plasmablast
6-3296,plasmablast
6-3579,T CD4 naive
1-1050,B-cell
6-224,tumor
11-2692,tumor
11-982,tumor
1-2244,pDC
1-1222,endothelial
6-4767,endothelial
1-2298,B-cell
1-257,pDC
1-1995,Treg
6-1798,pDC
6-363,tumor
11-1946,tumor
11-3124,tumor
1-1464,neutrophil
6-1201,epithelial
11-3699,tumor
26-2975,T CD4 naive
1-1129,T CD4 naive
6-1656,plasmablast
11-1867,tumor
1-2158,plasmablast
6-1571,plasmablast
11-98,fibroblast
21-867,fibroblast
6-1039,tumor
11-2190,tumor
21-1624,fibroblast
1-1530,plasmablast
1-852,B-cell
11-1883,tumor
11-525,tumor
6-5122,T CD4 naive
11-416,tumor
6-5135,T CD8 naive
6-2275,B-cell
11-2022,tumor
21-1255,fibroblast
26-581,neutrophil
1-1088,T CD4 naive
1-301,B-cell
1-182,monocyte
6-4995,T CD4 naive
11-3864,tumor
11-2092,tumor
26-2987,mDC
11-3831,tumor
11-1017,tumor
21-931,plasmablast
6-2622,plasmablast
6-446,tumor
11-318,tumor
1-201,endothelial
21-992,pDC
26-2928,fibroblast
1-2323,endothelial
1-683,B-cell
21-2976,plasmablast
11-3766,tumor
11-473,tumor
21-247,mDC
26-553,fibroblast
11-3720,tumor
1-716,T CD4 naive
21-664,fibroblast
21-2349,endothelial
26-498,fibroblast
6-1384,epithelial
6-4952,B-cell
6-2042,plasmablast
11-3849,tumor
11-2282,tumor
1-1291,macrophage
1-418,T CD8 naive
6-2999,epithelial
6-2222,mast
11-2058,tumor
11-873,tumor
21-2957,plasmablast
1-2239,plasmablast
1-887,plasmablast
1-1303,fibroblast
6-288,tumor
26-1999,plasmablast
16-3230,fibroblast
16-569,plasmablast
26-2764,endothelial
16-1758,tumor
16-1146,macrophage
21-1708,pDC
1-2114,epithelial
1-2319,endothelial
1-2259,mDC
1-1275,pDC
6-4898,macrophage
6-1168,tumor
6-1086,tumor
21-1321,T CD4 naive
21-1077,pDC
26-690,B-cell
1-397,T CD8 naive
1-282,Treg
11-2623,tumor
11-2249,tumor
16-925,fibroblast
1-746,pDC
16-3180,plasmablast
11-599,neutrophil
16-2470,tumor
21-2874,plasmablast
21-1511,mast
26-3579,fibroblast
1-2123,fibroblast
6-4968,T CD4 naive
6-4716,plasmablast
6-1748,plasmablast
6-631,tumor
16-1934,tumor
16-3318,endothelial
26-2883,tumor
1-1338,B-cell
1-141,endothelial
21-2040,plasmablast
1-2099,T CD8 naive
6-1234,epithelial
16-1816,tumor
16-685,endothelial
21-647,fibroblast
26-771,fibroblast
1-224,T CD4 naive
6-4688,Treg
