"","cell_ID","cell_types"
"c_1_51_10","c_1_51_10","Ductal"
"c_1_51_1012","c_1_51_1012","Acinar.2"
"c_1_51_1017","c_1_51_1017","Acinar.1"
"c_1_51_1078","c_1_51_1078","Acinar.1"
"c_1_51_1141","c_1_51_1141","Acinar.1"
"c_1_51_1227","c_1_51_1227","Beta cells"
"c_1_51_1234","c_1_51_1234","Acinar.2"
"c_1_51_1273","c_1_51_1273","Acinar.1"
"c_1_51_1362","c_1_51_1362","Acinar.1"
"c_1_51_137","c_1_51_137","Acinar.2"
"c_1_51_1422","c_1_51_1422","Acinar.2"
"c_1_51_1445","c_1_51_1445","Ductal"
"c_1_51_148","c_1_51_148","Ductal"
"c_1_51_1596","c_1_51_1596","Acinar.1"
"c_1_51_1650","c_1_51_1650","Acinar.1"
"c_1_51_1659","c_1_51_1659","Acinar.1"
"c_1_51_1666","c_1_51_1666","Acinar.1"
"c_1_51_1773","c_1_51_1773","Acinar.1"
"c_1_51_1777","c_1_51_1777","Ductal"
"c_1_51_180","c_1_51_180","Acinar.1"
"c_1_51_1987","c_1_51_1987","Quiescent stellate"
"c_1_51_2","c_1_51_2","Acinar.1"
"c_1_51_2032","c_1_51_2032","Quiescent stellate"
"c_1_51_2045","c_1_51_2045","Acinar.1"
"c_1_51_2094","c_1_51_2094","Quiescent stellate"
"c_1_51_2235","c_1_51_2235","Acinar.1"
"c_1_51_2247","c_1_51_2247","Acinar.1"
"c_1_51_2455","c_1_51_2455","Acinar.1"
"c_1_51_2470","c_1_51_2470","Acinar.1"
"c_1_51_322","c_1_51_322","Acinar.1"
"c_1_51_4","c_1_51_4","Ductal"
"c_1_51_455","c_1_51_455","Acinar.1"
"c_1_51_466","c_1_51_466","Acinar.2"
"c_1_51_509","c_1_51_509","Acinar.1"
"c_1_51_541","c_1_51_541","Acinar.1"
"c_1_51_589","c_1_51_589","Acinar.1"
"c_1_51_599","c_1_51_599","Ductal"
"c_1_51_609","c_1_51_609","Acinar.1"
"c_1_51_684","c_1_51_684","Acinar.1"
"c_1_51_711","c_1_51_711","Acinar.1"
"c_1_51_728","c_1_51_728","Acinar.1"
"c_1_51_801","c_1_51_801","Acinar.2"
"c_1_51_822","c_1_51_822","Ductal"
"c_1_51_924","c_1_51_924","Acinar.2"
"c_1_52_1011","c_1_52_1011","Alpha cells"
"c_1_52_1027","c_1_52_1027","Acinar.1"
"c_1_52_1069","c_1_52_1069","Acinar.2"
"c_1_52_1073","c_1_52_1073","Acinar.1"
"c_1_52_1079","c_1_52_1079","Acinar.1"
"c_1_52_1082","c_1_52_1082","Ductal"
"c_1_52_110","c_1_52_110","Acinar.1"
"c_1_52_1114","c_1_52_1114","Ductal"
"c_1_52_1138","c_1_52_1138","Ductal"
"c_1_52_1150","c_1_52_1150","Acinar.1"
"c_1_52_1175","c_1_52_1175","Acinar.1"
"c_1_52_1206","c_1_52_1206","Acinar.1"
"c_1_52_1298","c_1_52_1298","Acinar.1"
"c_1_52_1323","c_1_52_1323","Ductal"
"c_1_52_1383","c_1_52_1383","Acinar.1"
"c_1_52_1547","c_1_52_1547","Acinar.2"
"c_1_52_1595","c_1_52_1595","Ductal"
"c_1_52_1622","c_1_52_1622","Acinar.1"
"c_1_52_1687","c_1_52_1687","Acinar.1"
"c_1_52_1705","c_1_52_1705","Acinar.1"
"c_1_52_1721","c_1_52_1721","Acinar.2"
"c_1_52_1763","c_1_52_1763","Alpha cells"
"c_1_52_1865","c_1_52_1865","Acinar.1"
"c_1_52_2014","c_1_52_2014","Acinar.2"
"c_1_52_2151","c_1_52_2151","Acinar.1"
"c_1_52_2156","c_1_52_2156","Acinar.2"
"c_1_52_2203","c_1_52_2203","Acinar.1"
"c_1_52_2218","c_1_52_2218","Acinar.1"
"c_1_52_2313","c_1_52_2313","Acinar.1"
"c_1_52_2317","c_1_52_2317","Acinar.1"
"c_1_52_2327","c_1_52_2327","Ductal"
"c_1_52_2453","c_1_52_2453","Acinar.1"
"c_1_52_2467","c_1_52_2467","Ductal"
"c_1_52_2717","c_1_52_2717","Acinar.1"
"c_1_52_2855","c_1_52_2855","Beta cells"
